Word,Frequency
judea,40
tataña,40
tentagoña,40
jagas,40
lalaje,40
unoja,39
ninafanmanman,39
taegüenao,39
juisio,38
manago,38
cao,38
manmalofan,38
jalomtano,38
munga,38
mague,38
gâgâ,38
siete,38
jayo,38
manmanjonggue,37
egipto,37
manmagas,37
finatinas,37
adaje,37
jasoda,37
julie,37
egaan,36
tinagomo,36
diquique,36
jumajanao,36
canaejo,36
laje,36
quinajulo,36
bachet,36
jâgâ,36
laymo,36
pale,36
taegüijeja,36
minaasemo,36
santiago,36
famalaoan,36
años,36
usaga,35
guinen,35
sinco,35
maela,35
sumangane,35
jiloña,35
felipe,35
fumatitinas,35
minauleg,34
rumesibe,34
fanmanalaba,34
chago,34
tatajo,34
umagang,34
sin,34
masangan,34
finena,34
judas,33
raeno,33
naanjo,33
taotaoña,33
machule,33
tumunog,33
jupolo,33
tumalo,33
chaguan,32
guimaña,32
numae,32
mannae,32
chinatsaga,32
asaguaña,32
dinague,32
tatanmiyo,32
jesucristo,32
matatachong,32
contodo,32
güinajaña,32
magago,32
enimigujo,32
unlie,32
ujanao,31
unnae,31
sadog,31
jumungog,31
mamaela,31
chechoña,31
dichoso,31
cheluña,30
inagpaña,30
fatinas,30
magaguña,30
magalaje,30
canaeñija,30
infatinas,30
unfatinas,30
manana,30
atdao,30
injingog,30
tiningo,30
minaañao,29
mona,29
sumangan,29
maesa,29
podong,29
manadan,29
gaease,29
corasonña,29
cumuentos,29
sanjilo,29
minetgot,29
inanaco,29
matamo,29
cuatro,29
juagang,29
sinanganjo,29
banda,29
cabales,29
juadaje,29
alabansa,29
claro,28
sesat,28
ayoja,28
manguecuentos,28
masoda,28
güijan,28
jam,28
taquilo,28
mandichoso,28
minaase,28
todosija,28
chañija,28
nii,28
gueftaquilo,28
jaanen,28
mojon,28
nije,28
mafaesen,28
satbasion,28
malingo,27
saulo,27
manalo,27
ufanmato,27
yuje,27
lamasa,27
adengña,27
jajaso,27
untungo,27
que,27
manisao,27
apmam,27
malango,27
mañocho,27
tate,27
linâlâña,27
sinanganña,26
tumojgue,26
minalagña,26
bino,26
jabira,26
umacumple,26
ninae,26
uttimo,26
mamamaela,26
yuusta,26
minagajetmo,26
iyoña,26
umafatinas,26
umalog,26
jaatan,26
mansinangane,26
elias,26
mit,26
grasia,26
mapagajes,26
ylegñija,25
espada,25
oriyaña,25
manotojgue,25
mamoble,25
aje,25
ecungog,25
chechomo,25
prinsipen,25
manae,25
causa,25
matatnga,25
pupuenge,25
inagangjo,24
tiempon,24
umasagua,24
atadogmo,24
jaresibe,24
pachotña,24
achogja,24
pachotto,24
jaso,24
adengjo,24
pascua,24
petta,24
jajatsa,24
janajanao,24
manafaesen,24
jumonggue,24
tinas,24
mañisija,24
nalibreyo,24
sagaña,23
maañao,23
ucajulo,23
satbasionmo,23
dies,23
calaboso,23
manjula,23
uttimon,23
jemjom,23
senturion,23
managang,23
madalalag,23
mannamanman,23
mañeluña,23
ulie,23
cuanto,23
barnabé,23
juisiomo,23
corasonmiyo,23
ualog,23
tumotojgue,22
jafatitinas,22
entaloñija,22
unjanao,22
finaesen,22
pachot,22
manmanope,22
atadogñija,22
sagayan,22
gumaeya,22
manmalango,22
catne,22
umaliligao,22
tininasmo,22
ayosija,22
atadog,22
secreto,22
lajijo,22
buente,22
oda,22
taemano,22
tataotao,21
publicano,21
taegüenaoja,21
güinaeyamo,21
manmatojam,21
ugaegue,21
mañaenata,21
joyo,21
jomjom,21
cantan,21
ninasiñan,21
pinite,21
anglo,21
ogso,21
lumie,21
mayute,21
san,21
umatae,21
jadingo,21
ubas,20
jasasangan,20
cumuecuentos,20
unpolo,20
ufatinas,20
mandangculo,20
jayute,20
manestaba,20
jagoja,20
chumule,20
jujaso,20
jaftaemanoja,20
gue,20
tinegcha,20
adeng,20
inseda,20
pajaro,20
manmagof,20
ninamanman,20
mataña,20
mababa,19
semiya,19
menajo,19
guera,19
finanagüemo,19
manmatatachong,19
jujanao,19
chule,19
jinenggue,19
minegae,19
jungog,19
lalâlâ,19
ninasiñaña,19
chaña,19
minalago,19
ujalie,19
inepe,19
áplacha,19
testimoniomo,19
inefresen,19
sengsong,19
chetnot,19
mandiquique,19
jaadaje,19
atadogco,18
chamoyo,18
janesesita,18
binibumo,18
manaetae,18
ufanjanao,18
pachotñija,18
umapolo,18
saque,18
mañelujo,18
satanas,18
samaria,18
uresibe,18
chumatlie,18
manmauleg,18
macumple,18
iyomo,18
mangachongña,18
oro,18
jaope,18
jordan,18
nañija,18
maaliligao,18
masangane,18
bendise,18
ufanmamajlao,18
jues,18
atadogña,18
ilelegña,18
mamodong,18
sumasaga,18
umacone,18
maninepe,18
uchule,18
sasalaguan,18
mamanagüe,18
fino,17
juda,17
janacajulo,17
manjuyong,17
matoyo,17
chocho,17
taotaomo,17
janafanjomlo,17
capernaum,17
umamaela,17
nobio,17
manaagang,17
quinene,17
jafaesen,17
magof,17
junaejao,17
oriya,17
jusoda,17
inefrese,17
usiña,17
antioquia,17
noseaja,17
manmalag,17
umayute,17
pettan,17
jinasoñija,17
ufanmagof,17
jagagao,17
nengcano,17
alaba,17
cantaye,17
chumogüe,17
tinina,17
adengmo,17
japuno,17
fitme,17
satbasionjo,16
tanoñija,16
copa,16
fanmalag,16
isaias,16
rason,16
tinayuyut,16
espiritun,16
famaguonña,16
bendito,16
manganite,16
chechoñija,16
pumopolo,16
jinasoco,16
babue,16
taegüijija,16
lâlâ,16
nasareno,16
enemigujo,16
iluña,16
guajoja,16
ofisiat,16
igos,16
guimamo,16
upolo,16
umanae,16
namanman,16
gasgas,16
mañaga,16
nalibre,16
tinadong,16
saes,16
manjajanao,16
chelumo,16
managuaguat,16
taebale,16
anineng,15
tiyan,15
jalalatde,15
tinegchaña,15
juguaeya,15
mañantos,15
tatamo,15
seguro,15
yya,15
sinantos,15
nasaret,15
chalanmo,15
jujungog,15
catneco,15
disipulon,15
sajyan,15
trigo,15
sagan,15
lasaro,15
sumanjiyong,15
cuarenta,15
tiro,15
gayo,15
asia,15
sesarea,15
jajonggue,15
ufangajulo,15
mamananagüe,15
umafanaan,15
cumequeilegña,15
majonggue,15
bijo,15
tasen,15
hipocrita,15
jafanue,15
jucantaye,15
guse,15
ileco,15
jinanaoña,15
matutujon,15
japacha,15
manmatachong,15
tutujon,15
boteyan,14
petbos,14
juangocoyo,14
jananangga,14
jabendise,14
chumocho,14
siento,14
güi,14
iyoco,14
sangane,14
unae,14
bulico,14
ujatungo,14
pastot,14
chelujo,14
ujuyong,14
mamomocat,14
pues,14
jababa,14
sinenggue,14
taegüe,14
umaagang,14
jaguaeya,14
uje,14
bautista,14
manjonggue,14
ilegmiyo,14
todot,14
maulegña,14
matago,14
dangculoña,14
jatungoja,14
ampmam,14
minagofña,14
tinagoña,14
mafañago,14
ujalom,14
isaoñija,14
dia,14
jacano,14
sentensia,14
linie,14
umagof,14
chelun,14
maentrega,14
ninasiñamo,14
jagan,14
yinilang,14
cuero,14
testigo,14
yumute,13
sobetbio,13
maatane,13
ilegco,13
atpa,13
preso,13
gaeninasiña,13
intingoja,13
umaason,13
silas,13
umatungo,13
cumajulo,13
iglesia,13
matan,13
manmanlie,13
manbula,13
ibangelio,13
lagua,13
unjonggue,13
jutago,13
nanajo,13
güinajamo,13
ynepe,13
tadong,13
griego,13
atan,13
saduseo,13
damasco,13
festo,13
ufañaga,13
ysaac,13
taotaojo,13
ilujo,13
paluma,13
gosdangculo,13
amen,13
jinason,13
mañochocho,13
masquesea,13
marta,13
pilatos,13
minamajlao,13
umaentrega,13
ujaalog,13
salomon,13
mamobble,13
talento,13
olibo,13
jilajo,13
ufalingo,13
yuusmo,13
tituca,13
tentagojo,13
pumolo,13
pinagat,13
jijijot,13
cariñoso,13
japredica,13
andres,13
jacuentuse,13
jinecog,13
sinangane,13
udo,12
manguentos,12
linâlâjo,12
laña,12
attat,12
jachatlie,12
sabana,12
naeyo,12
tachong,12
manmanae,12
manmanago,12
jaencatga,12
cana,12
jutayuyut,12
usangan,12
enemigo,12
jumajaso,12
sancatan,12
sebedeo,12
malagoyo,12
masqueseaja,12
paralitico,12
corasonmo,12
aligao,12
uyulang,12
manmagajet,12
finatinasmo,12
sajafa,12
laso,12
famaguonñija,12
unfanue,12
tinaelayeco,12
inpelo,12
ja,12
segun,12
falag,12
nanan,12
malagojao,12
magdalena,12
manjanaojam,12
jaipe,12
inpino,12
umadadaje,12
tinaetaejo,12
inaliligao,12
rabi,12
mannesesitao,12
sidon,12
ilegmo,12
jinaso,12
jaentrega,12
betania,12
patte,12
manbachet,12
maresibe,12
agripa,12
sacharias,12
agaga,12
manmanjungog,12
minetgotto,12
atadogjo,12
tomas,12
mismo,12
no,12
mandague,12
umadingan,11
manajanao,11
utungo,11
manmanso,11
tatan,11
manmatago,11
salmon,11
inenra,11
manmalingo,11
oriyajo,11
labiosso,11
unnaeyo,11
estagüeja,11
unalibre,11
agang,11
rico,11
nifen,11
mañoda,11
pumalo,11
jonas,11
fanagüeyo,11
umentrega,11
manlie,11
publico,11
guimajo,11
semiyaña,11
menanñija,11
miyo,11
inina,11
guatdia,11
ujafatinas,11
biuda,11
tribunal,11
esteja,11
manoja,11
galago,11
ujasangan,11
tinayuyutto,11
jaaniña,11
uyute,11
disipoluña,11
manjaspog,11
manmachochocho,11
upodong,11
vision,11
jujatsa,11
jayulang,11
usatba,11
tributo,11
mangachochongña,11
inresibe,11
chalanña,11
cama,11
aaron,11
atboroto,11
ninamagof,11
minetgotmo,11
cumano,11
matanme,11
tatanmame,11
manmañule,11
espiritujo,11
ufannae,11
jaanijo,11
manogcha,11
ñalang,11
prinsipe,11
inagangña,11
inquene,11
manunog,11
barabas,11
minagas,11
iscariote,11
gupot,11
manmafatinas,11
ananias,11
dumimo,11
pilan,11
sigue,11
pinelo,11
enimigumo,11
jinasoña,11
gaegueja,11
isaojo,11
sanjalom,10
manparejo,10
injisga,10
eda,10
inadaje,10
unyute,10
jualaba,10
finoña,10
jaangoco,10
bandan,10
innae,10
ujajungog,10
mandoco,10
siñayo,10
güinaeya,10
tutujonña,10
telangjo,10
ramas,10
tininasña,10
inagangñija,10
manmamaela,10
malagoña,10
minagofñija,10
canastra,10
ichan,10
taegüineja,10
jinasonñija,10
tiguangña,10
dacon,10
famaguonmo,10
manmetgot,10
jinanao,10
minagofjo,10
ulâlâ,10
insangane,10
injaso,10
sea,10
minalagoña,10
mansobetbio,10
fanganta,10
pebble,10
jafanagüe,10
taftaf,10
jilojo,10
roma,10
tisiña,10
achojo,10
masedonia,10
malagomo,10
tinagojo,10
manada,10
unsangan,10
jaaliligao,10
tago,10
iyasija,10
mañuñule,10
sumanjalomñija,10
joppe,10
jinengguemo,10
jucanta,10
nuebe,10
munalibre,10
isaomiyo,10
matufong,10
sen,10
efeso,10
lamlam,10
lajimo,10
fanmaañao,10
güinaeyaco,10
manmanaetae,10
angoco,10
jatsa,10
nanamo,10
inaguaguat,10
manmachalapon,10
pidason,10
sisigueja,10
magagon,9
tratuña,9
mañule,9
mangachong,9
manu,9
jufatitinas,9
potta,9
sumangangane,9
tataotaojo,9
jinasonmiyo,9
mañago,9
chiniguit,9
tatañija,9
güinajan,9
señotjo,9
angjetña,9
manparejoja,9
sanjaya,9
jujonggue,9
finatinasñija,9
mañila,9
caefas,9
semiyan,9
tentasion,9
napo,9
tataotaomo,9
janamatungo,9
tronuña,9
manmalefa,9
todoja,9
nalâlâyo,9
ufañocho,9
finanagüeña,9
jufanue,9
jocog,9
chajo,9
jumajalom,9
talangamo,9
antiña,9
tanoña,9
mandadaña,9
enimigo,9
taotaojuyong,9
manmacone,9
jajuto,9
usoda,9
infatitinas,9
ñinalang,9
ujungog,9
alog,9
manmañotsot,9
umalie,9
jucone,9
jualog,9
mañija,9
piao,9
ufanmalingo,9
linibre,9
camamo,9
juchule,9
pachotmo,9
jujajaso,9
binibuña,9
apas,9
mangilisyano,9
treinta,9
jaecungog,9
saga,9
patang,9
ategtog,9
tingo,9
sagamo,9
libre,9
jilañija,9
umayulang,9
injingogja,9
elisabet,9
sanjalomña,9
limosna,9
canta,9
siudan,9
mangasgas,9
cadena,9
guajayo,9
agupa,9
guaeya,9
manatan,9
hebreo,9
ufalofan,9
binibo,9
rasan,9
felix,9
onra,9
apiyiduña,9
ninamaase,9
sumanjalomjo,9
ante,9
jamantiene,9
fumanagüe,9
tataotaoña,9
matagpange,9
disipulumo,9
fañaga,9
isla,9
sinetsot,9
sincuenta,9
manmatagpange,9
manatanges,9
jusasangan,8
ufanjuyong,8
maañaoyo,8
opeyo,8
ujusga,8
juchatlie,8
maaañao,8
canggelon,8
dididija,8
junangga,8
umatog,8
trangca,8
manninae,8
iyajago,8
ybangelio,8
según,8
mateo,8
pinatgonjo,8
mañagajam,8
mantinago,8
cornelio,8
unguaeya,8
chinatlie,8
sumuja,8
mamaego,8
erensiamo,8
jarechasa,8
palasyo,8
chipre,8
ufanjalom,8
umachule,8
manjijita,8
catga,8
finanagüe,8
manenggeng,8
nangga,8
ufanmalofan,8
guitala,8
mañantosña,8
minetgotña,8
mafaaela,8
manmañuñule,8
jalilie,8
jaayeg,8
sijaja,8
inangococo,8
menañija,8
jiyong,8
pution,8
binagle,8
manmalolofan,8
juguimen,8
juapase,8
junalibre,8
senmagajet,8
sena,8
semana,8
minaulegmo,8
matayuyut,8
a,8
manmamatquilo,8
sanlichan,8
jafaja,8
ninafanmagof,8
liniiña,8
tore,8
jugagao,8
ufanmañotsot,8
pumuno,8
daño,8
matajo,8
sagañija,8
ocho,8
gae,8
meses,8
sanjalomñija,8
inasiin,8
mapuno,8
inggüente,8
jumusga,8
mafañagon,8
babilonia,8
sacan,8
unfatitinas,8
paopao,8
manmannae,8
dalalag,8
manñalang,8
familia,8
manina,8
listo,8
ujayute,8
jinengguenmiyo,8
onse,8
inemog,8
yaña,8
chumatliiyo,8
famaguonmiyo,8
naña,8
maipe,8
nubiyo,8
manaetiningo,8
manfafachocho,8
plasa,8
isaomo,8
jagaña,8
umaasie,8
menanmiyo,8
amuña,8
insangan,8
junajanao,8
minilalag,8
tiningoña,8
catset,8
chinatsagaco,8
ufanjungog,8
minalagojo,8
tumanges,8
estagüiya,8
plato,8
manmamaego,8
fangualuanña,8
fanmaaañao,8
magagao,8
minitong,8
chatfino,8
infanjanao,8
mamuno,8
lie,8
jayejao,8
maego,8
betlehem,8
ufanmanae,8
ilo,8
dalalagyo,8
liniiñija,8
mañisijaja,8
talangaña,8
jusaga,8
malagojo,8
manmaconbida,8
songsong,8
sumanjalomña,8
tinagpangen,8
japredidica,7
asaguan,7
manmalagojam,7
jâgâjo,7
malagoñija,7
jaestira,7
manguaefe,7
derepente,7
minalagmo,7
manmamatitinas,7
leblo,7
uecungog,7
apaca,7
managpapange,7
año,7
inacacha,7
grasian,7
manáplacha,7
yumulang,7
umanajanao,7
juyute,7
contrario,7
juatan,7
jajajaso,7
jafagase,7
tumayog,7
mafato,7
chumochoma,7
gaetalanga,7
manmachaleg,7
ujapuno,7
janafandaña,7
unchule,7
gumimen,7
naanñija,7
maase,7
betsaida,7
manmamocat,7
magode,7
ufamadese,7
manlalaolao,7
ramasña,7
medida,7
ufanmautut,7
tomotojgue,7
jinasomo,7
janalibre,7
tateco,7
infanninae,7
ingagao,7
unnalibre,7
templomo,7
manmapolo,7
espadaña,7
uchocho,7
anten,7
satbayo,7
jaadadaje,7
beca,7
pedaso,7
sendangculo,7
yuusmame,7
jululo,7
ubula,7
uncone,7
leblon,7
cajon,7
inepeña,7
ebangelio,7
asiga,7
ucone,7
cuentos,7
sinantosña,7
tumampe,7
tetrarca,7
ninamaañao,7
guinagaojo,7
magagoñija,7
manguimen,7
sangan,7
jubendise,7
unafanlibre,7
mamocat,7
bendision,7
juagangjao,7
jomlo,7
yyajago,7
adulterio,7
manmanaliligao,7
anaco,7
pinigan,7
guinegüe,7
ufanmalag,7
promesa,7
talie,7
japlanta,7
maepe,7
trongco,7
atane,7
minalagomo,7
manmaudaejam,7
chinatsagañija,7
bumendise,7
siria,7
suja,7
espirituña,7
macat,7
magmata,7
chiba,7
gajo,7
quiluusña,7
junanangga,7
jafajam,7
nasuja,7
marcos,7
fanbela,7
león,7
yute,7
romano,7
ufañago,7
culebla,7
causan,7
beetsebub,7
sinedrio,7
mandacon,7
umangoco,7
jutalo,7
umasusede,7
fanmagof,7
inchile,7
ilegmame,7
guinatbon,7
jualigao,7
umaatane,7
juresibe,7
tabetnaculo,7
jinemjom,7
enimiguña,7
ufanmanalaba,7
jiningogmiyo,7
señotña,7
raenoña,7
linalaloña,7
jufamocat,7
ufanalo,7
güinaeyaña,7
raenomo,7
pinitijo,7
esteban,7
magogode,7
najanao,7
manrico,7
unyulang,7
sinanganñija,7
sumasangan,7
ufinalingaeguan,7
asaguamo,7
manmanbebende,7
infanmanae,7
junacajulo,7
linalatde,7
juyulang,7
ufanmamaela,7
cumone,7
umanacajulo,7
madingo,7
malagomiyo,7
de,7
inayuda,7
mabende,7
jufagase,7
umapredica,7
majo,7
numanangga,7
umaalog,7
ujaresibe,7
fañajangan,7
fanjanao,7
finaborese,6
manbiuda,6
maies,6
ufatta,6
palasyon,6
manpodong,6
manggue,6
jagobiebietna,6
ninafañatsaga,6
mangue,6
umatuna,6
manmangongone,6
miet,6
tronumo,6
costumbre,6
mapot,6
las,6
jafananagüe,6
machuda,6
jinanaomo,6
uinentrega,6
umayuyudayo,6
quineco,6
chile,6
aire,6
adengñija,6
linalalomo,6
timoteo,6
jenggue,6
dinalalag,6
sodoma,6
chegcheg,6
tristeyo,6
masaulag,6
antita,6
ilon,6
fanago,6
mananaetae,6
manmanjaso,6
catta,6
medidan,6
güinaeyan,6
juadadaje,6
famaña,6
silisia,6
tumutunog,6
pedong,6
aposento,6
castiyo,6
disipulujo,6
señores,6
chalanjo,6
unadora,6
meton,6
upuno,6
mañantosmo,6
gaña,6
dumilog,6
inechong,6
papamo,6
fumaaela,6
maagang,6
utunog,6
camaña,6
megaeña,6
yumamag,6
ogaan,6
manmalie,6
dignoyo,6
manmejnalom,6
jingog,6
deboto,6
mumegae,6
migo,6
tininasso,6
manabag,6
macontra,6
quinajulon,6
numaeyo,6
taloane,6
manayuyunat,6
incano,6
nataniel,6
mayengyong,6
manayunat,6
lobo,6
mañaque,6
lalajin,6
fagmata,6
umasie,6
jamerese,6
jacumple,6
tumagoyo,6
erensian,6
jinanaojo,6
calentura,6
finalingaeguan,6
inamot,6
ábale,6
mañaena,6
bitgen,6
oran,6
costumbren,6
maaatan,6
quelat,6
umasoda,6
naejam,6
jumujungog,6
tiguangmo,6
jumujuyong,6
injanagüe,6
trompeta,6
tiyanña,6
serpiente,6
unjungog,6
namaañao,6
unajanao,6
guinegüeco,6
nifenñija,6
liija,6
labiosñija,6
ninacajulo,6
aso,6
entaloña,6
medico,6
ninasiñañija,6
galileo,6
dumingo,6
chinatfino,6
gumaña,6
mayulang,6
ufanaetae,6
unnajanao,6
inadora,6
inasie,6
infanmanaetae,6
güetta,6
manmamomocat,6
ufanlinachae,6
maplanta,6
magagujo,6
manuttimo,6
setenta,6
unayudayo,6
munacajulo,6
trangcan,6
dumidingo,6
ujacone,6
tatnero,6
milagro,6
plinantan,6
trono,6
yuusmiyo,6
injajaso,6
taetiningo,6
janatungo,6
umantiene,6
lumijing,6
unjalom,6
manaminagago,6
unnafitme,6
intaetae,6
utut,6
jaf,6
chachago,6
naaña,6
mandeboto,6
nobiyo,6
infanmatachong,6
tinanom,6
levi,6
chumochogüe,6
manmanogcha,6
manbijo,6
inayegña,6
jufaesen,6
jagoe,6
manmafanaan,6
mangachongñija,6
notisia,6
enemigumo,6
todotdia,6
mañotsot,6
idolos,6
unacajulo,6
fatachong,6
matdision,6
jilaña,6
gaesisiña,6
clasen,6
manjijot,6
ujaadaje,6
satbasionña,6
taeisao,6
umafañago,6
umoriyayeyo,6
manaconseja,6
manfamaguon,6
talanga,6
tafatinas,6
tatalopuenge,6
linao,6
yajo,6
ninamanmanmo,6
ufanmapuno,6
amigo,6
bestido,6
minaulegña,6
jujalom,6
ninafañachatsaga,6
linâlâmo,6
jumajanaoyo,6
jinalomjo,6
jerico,6
manmalalago,6
testimonioña,6
tafanmagof,6
jaaatan,6
maguot,6
masasangan,6
ucumple,6
pineloñija,6
majafot,6
oriyañija,6
rato,6
tatata,6
tinaelayeñija,6
manmatugue,6
leon,6
tanon,6
güinife,6
tribon,6
manmamananagüe,6
junaatog,6
sinagogan,6
cameyo,6
tinaelayen,6
tale,6
trato,6
herodias,6
mafagase,6
dinaña,6
jabende,6
en,6
sumanjalom,6
jachuda,6
sanjiyong,6
inábale,6
utago,6
güinajajo,6
manetnon,5
sesenta,5
matancho,5
jayeyo,5
jumajame,5
peseta,5
ujaalaba,5
uoo,5
ujafanjanao,5
fanmañotsot,5
infañocho,5
tradision,5
raenoco,5
unos,5
jananae,5
finijom,5
mira,5
umasaulag,5
mapredica,5
capitan,5
manugue,5
jutugue,5
ugagaegue,5
salmos,5
maesajao,5
mancojo,5
umadaje,5
antimo,5
fañuja,5
jutayuyute,5
umaalaba,5
jautut,5
nayan,5
mansiña,5
manmatanme,5
liniimiyo,5
jucajulo,5
achogaja,5
minagagago,5
testimonioñija,5
canaja,5
mungajit,5
noe,5
imagen,5
pamfilia,5
posuelo,5
maconie,5
ninafansenmagof,5
minagagon,5
minatatnga,5
dosientos,5
tinempo,5
unresibe,5
sinanganmiyo,5
maadora,5
jupula,5
jasetbe,5
rescatayo,5
birajao,5
manadingan,5
maposgüe,5
manojgue,5
jagode,5
jagajo,5
magasñija,5
umasentensia,5
gagaegueja,5
sapatos,5
tesalónica,5
atenas,5
contrariujo,5
manmababa,5
fanjajalom,5
janagasgas,5
pagyo,5
minalagoñija,5
patgonña,5
calolotña,5
alfeo,5
pobleyo,5
ufanguentos,5
iconio,5
manmasirconsida,5
jumatae,5
ufanmannae,5
unmaasie,5
ufanmerese,5
chumatfino,5
plumanta,5
basán,5
eunuco,5
guaca,5
ufañule,5
iyajamyo,5
jusagane,5
inyite,5
esquina,5
iyonñija,5
ilelegñija,5
inatane,5
cananea,5
majatsa,5
tarso,5
guaelaye,5
sumisija,5
udangculo,5
ninasiñajo,5
hosana,5
comun,5
cuetdas,5
adengmiyo,5
jajanagüe,5
cone,5
mantriste,5
títuca,5
manasangane,5
limosnamo,5
sirene,5
mamatinas,5
jasigue,5
pineloña,5
maalaba,5
jasaosao,5
señatña,5
apacha,5
mapula,5
jamyoja,5
umadibide,5
mapopolo,5
linâlâñija,5
sumanjilo,5
cumasao,5
mañeñetbe,5
coble,5
fijom,5
mañaenaña,5
masotta,5
manpatgon,5
yanñija,5
janajomlo,5
umayudayo,5
inalog,5
costumbreña,5
güijeja,5
gachongña,5
jujusga,5
mangone,5
mana,5
manaotao,5
uguimen,5
manatunog,5
lebaduran,5
utalo,5
edom,5
efraim,5
jinasonmimiyo,5
manases,5
ninafanmaañao,5
manmajetog,5
jaayig,5
manfaye,5
simeon,5
magagagao,5
ufangaegue,5
disipuloña,5
inguaeya,5
ilegñiñija,5
dumalalag,5
jinatsa,5
jagana,5
finabeca,5
eli,5
japalae,5
masusede,5
fangajulo,5
güenao,5
tunog,5
tuyan,5
jumajatsa,5
macano,5
taftataf,5
peligroña,5
güajo,5
tratujo,5
gagao,5
manmapuno,5
infanjalom,5
ufanmanlie,5
tafanjanao,5
jatsamiento,5
siguiente,5
mangana,5
mangagao,5
ninafangosmanman,5
mangacanta,5
manjujuyong,5
undagueyo,5
nicodemo,5
jafanaan,5
ufamauleg,5
manatungo,5
finatinaso,5
premionmiyo,5
manmalate,5
mafananaan,5
güinajañija,5
maadaje,5
estabayo,5
jumatsa,5
macocone,5
ilelegmo,5
manmachocho,5
